lat,lon,city,street,housenumber,postcode
52.4660028,16.7600352,Poznań,Nad Przeźmierką,1,60-480
52.4659241,16.7596850,Poznań,Nad Przeźmierką,1A,60-480
52.4661320,16.7605793,Poznań,Nad Przeźmierką,2,60-480
52.4662159,16.7609311,Poznań,Nad Przeźmierką,3,60-480
52.4655923,16.7644594,Poznań,Nad Przeźmierką,5,60-480
52.4732623,16.7574368,Poznań,Biwakowa,13,
52.4740666,16.7572410,Poznań,Biwakowa,15,
52.4742629,16.7568567,Poznań,Biwakowa,17,
52.4741418,16.7573391,Poznań,Biwakowa,18,
52.4744352,16.7558919,Poznań,Biwakowa,19,
52.4732378,16.7539667,Poznań,Podjazdowa,93,60-480
52.4734959,16.7544211,Poznań,Podjazdowa,91,60-480
52.4717763,16.7613664,Poznań,Biwakowa,1,
52.4726314,16.7597412,Poznań,Biwakowa,10,
52.4735925,16.7577330,Poznań,Biwakowa,11,
52.4729765,16.7596004,Poznań,Admirała Józefa Unruga,4,
52.4733753,16.7596681,Poznań,Admirała Józefa Unruga,8,
52.4736468,16.7598450,Poznań,Admirała Józefa Unruga,12,
52.4733183,16.7585810,Poznań,Biwakowa,14,
52.4738660,16.7580147,Poznań,Biwakowa,16,
52.4719616,16.7617470,Poznań,Biwakowa,2,
52.4721499,16.7601407,Poznań,Biwakowa,3,
52.4721572,16.7610456,Poznań,Biwakowa,4,
52.4724040,16.7595373,Poznań,Biwakowa,5,
52.4756189,16.7612396,Poznań,Admirała Józefa Unruga,36,
52.4722750,16.7607284,Poznań,Biwakowa,6,
52.4729770,16.7635979,Poznań,Bojerowa,61,
52.4724976,16.7589545,Poznań,Biwakowa,7,
52.4774481,16.7638776,Poznań,Podjazdowa,73a,60-480
52.4778227,16.7632011,Poznań,Podjazdowa,75,60-480
52.4727739,16.7587157,Poznań,Biwakowa,7a,
52.4724695,16.7602534,Poznań,Biwakowa,8B,
52.4769318,16.7602900,Poznań,Podjazdowa,81,60-480
52.4726274,16.7599631,Poznań,Biwakowa,8a,
52.4730963,16.7586335,Poznań,Biwakowa,9,
52.4768483,16.7622890,Poznań,Admirała Józefa Unruga,46,
52.4764149,16.7620871,Poznań,Admirała Józefa Unruga,42,
52.4753196,16.7610834,Poznań,Admirała Józefa Unruga,32,
52.4748030,16.7606627,Poznań,Admirała Józefa Unruga,28,
52.4737735,16.7592620,Poznań,Admirała Józefa Unruga,5,
52.4762275,16.7629772,Poznań,Burtowa,10,60-480
52.4768017,16.7639378,Poznań,Cumownicza,13,60-480
52.4767525,16.7634311,Poznań,Burtowa,4,60-480
52.4763986,16.7630889,Poznań,Burtowa,8,60-480
52.4752420,16.7594769,Poznań,Portowa,7,60-480
52.4751577,16.7597741,Poznań,Portowa,5,60-480
52.4733410,16.7580740,Poznań,Biwakowa,9A,60-480
52.4735389,16.7585387,Poznań,Biwakowa,16B,60-480
52.4751865,16.7609868,Poznań,Admirała Józefa Unruga,30,60-480
52.4752171,16.7604825,Poznań,Portowa,2,60-480
52.4740880,16.7597323,Poznań,Admirała Józefa Unruga,7,
52.4758696,16.7626215,Poznań,Burtowa,14,60-480
52.4760427,16.7628305,Poznań,Burtowa,12,60-480
52.4738524,16.7639938,Poznań,Bojerowa,36,60-480
52.4763016,16.7638575,Poznań,Burtowa,5,
52.4747043,16.7591653,Poznań,Janiny Kwaśniewskiej,20,60-480
52.4744859,16.7595209,Poznań,Janiny Kwaśniewskiej,18,60-480
52.4729375,16.7605972,Poznań,Adama Białoszyńskiego,3,60-480
52.4726979,16.7600645,Poznań,Adama Białoszyńskiego,1,60-480
52.4772464,16.7622181,Poznań,Admirała Józefa Unruga,31,60-480
52.4754608,16.7607655,Poznań,Admirała Józefa Unruga,15,60-480
52.4742805,16.7591584,Poznań,Janiny Kwaśniewskiej,19,60-480
52.4753653,16.7632038,Poznań,Teresy Remiszewskiej,5,60-480
52.4756378,16.7633008,Poznań,Teresy Remiszewskiej,12,60-480
52.4743928,16.7599362,Poznań,Janiny Kwaśniewskiej,16,60-480
52.4765305,16.7636265,Poznań,Burtowa,3,60-480
52.4758291,16.7610522,Poznań,Admirała Józefa Unruga,19,60-480
52.4746459,16.7613735,Poznań,Adama Białoszyńskiego,17,60-480
52.4767343,16.7618456,Poznań,Admirała Józefa Unruga,25,60-480
52.4739049,16.7618581,Poznań,Adama Białoszyńskiego,16,60-480
52.4744729,16.7686640,Poznań,Szkutnicza,1,
52.4746977,16.7651484,Poznań,Żaglowa,1,
52.4736102,16.7652219,Poznań,Fregatowa,10,
52.4758993,16.7675441,Poznań,Kapitańska,10,
52.4767204,16.7682539,Poznań,Komandorska,10,
52.4738183,16.7658394,Poznań,Korwetowa,10,
52.4738501,16.7676487,Poznań,Morska,10,
52.4746422,16.7706346,Poznań,Regatowa,10,
52.4772035,16.7700154,Poznań,Retmańska,10,
52.4774554,16.7673426,Poznań,Bojerowa,11,
52.4754930,16.7701430,Poznań,Bosmańska,11,
52.4736128,16.7655966,Poznań,Fregatowa,11,
52.4755640,16.7669961,Poznań,Kapitańska,11,
52.4764162,16.7677275,Poznań,Komandorska,11,
52.4737425,16.7668085,Poznań,Korwetowa,11,
52.4764130,16.7705668,Poznań,Marynarska,11,
52.4739406,16.7677739,Poznań,Morska,11,
52.4739311,16.7701666,Poznań,Okrętowa,11,
52.4749770,16.7700558,Poznań,Regatowa,11,
52.4768689,16.7705665,Poznań,Retmańska,11,
52.4741328,16.7663499,Poznań,Szkunerowa,11,
52.4743177,16.7696613,Poznań,Szkutnicza,11,
52.4757390,16.7704866,Poznań,Bosmańska,12,
52.4734829,16.7652901,Poznań,Fregatowa,12,
52.4759226,16.7673151,Poznań,Kapitańska,12,
52.4740920,16.7684243,Poznań,Karawelowa,12,
52.4769324,16.7680716,Poznań,Komandorska,12,
52.4737437,16.7660080,Poznań,Korwetowa,12,
52.4746563,16.7704138,Poznań,Regatowa,12,
52.4770429,16.7699802,Poznań,Retmańska,12,
52.4743466,16.7668704,Poznań,Szkunerowa,12,
52.4773223,16.7672351,Poznań,Bojerowa,13,
52.4756518,16.7699699,Poznań,Bosmańska,13,
52.4738607,16.7691317,Poznań,Karawelowa,13,
52.4765120,16.7676200,Poznań,Komandorska,13,
52.4738539,16.7670170,Poznań,Korwetowa,13,
52.4738210,16.7679561,Poznań,Morska,13,
52.4738684,16.7700562,Poznań,Okrętowa,13,
52.4750138,16.7697520,Poznań,Regatowa,13,
52.4768154,16.7705374,Poznań,Retmańska,13,
52.4740295,16.7665908,Poznań,Szkunerowa,13,
52.4743512,16.7698844,Poznań,Szkutnicza,13,
52.4758548,16.7701261,Poznań,Bosmańska,14,
52.4733871,16.7654483,Poznań,Fregatowa,14,
52.4739888,16.7683842,Poznań,Karawelowa,14,
52.4736713,16.7662085,Poznań,Korwetowa,14,
52.4746325,16.7701997,Poznań,Regatowa,14,
52.4768772,16.7698949,Poznań,Retmańska,14,
52.4743841,16.7670104,Poznań,Szkunerowa,14,
52.4741526,16.7698844,Poznań,Szkutnicza,14,
52.4772000,16.7671289,Poznań,Bojerowa,15,
52.4757470,16.7696634,Poznań,Bosmańska,15,
52.4734373,16.7660960,Poznań,Fregatowa,15,
52.4758814,16.7667963,Poznań,Kapitańska,15,
52.4765366,16.7673059,Poznań,Komandorska,15,
52.4738696,16.7672205,Poznań,Korwetowa,15,
52.4749749,16.7695629,Poznań,Regatowa,15,
52.4767553,16.7701978,Poznań,Retmańska,15,
52.4741079,16.7667863,Poznań,Szkunerowa,15,
52.4733417,16.7656154,Poznań,Fregatowa,16,
52.4761078,16.7670249,Poznań,Kapitańska,16,
52.4739161,16.7685319,Poznań,Karawelowa,16,
52.4766809,16.7675040,Poznań,Komandorska,16,
52.4736324,16.7664532,Poznań,Korwetowa,16,
52.4746385,16.7699634,Poznań,Regatowa,16,
52.4766998,16.7697847,Poznań,Retmańska,16,
52.4744127,16.7672232,Poznań,Szkunerowa,16,
52.4770658,16.7670198,Poznań,Bojerowa,17,
52.4757825,16.7695493,Poznań,Bosmańska,17,
52.4734174,16.7664018,Poznań,Fregatowa,17,
52.4750542,16.7693184,Poznań,Regatowa,17,
52.4764364,16.7701379,Poznań,Retmańska,17,
52.4743696,16.7703040,Poznań,Szkutnicza,17,
52.4739745,16.7697239,Poznań,Karawelowa,17/19,
52.4732728,16.7658482,Poznań,Fregatowa,18,
52.4736158,16.7667311,Poznań,Korwetowa,18,
52.4746549,16.7697688,Poznań,Regatowa,18,
52.4765857,16.7695068,Poznań,Retmańska,18,
52.4743887,16.7674115,Poznań,Szkunerowa,18,
52.4769277,16.7670132,Poznań,Bojerowa,19,
52.4749135,16.7690162,Poznań,Regatowa,19,
52.4762882,16.7701122,Poznań,Retmańska,19,
52.4741126,16.7671894,Poznań,Szkunerowa,19,
52.4743584,16.7705097,Poznań,Szkutnicza,19,
52.4740414,16.7645375,Poznań,Fregatowa,2,
52.4746376,16.7676118,Poznań,Morska,2,
52.4742850,16.7686998,Poznań,Szkutnicza,2,
52.4745518,16.7650087,Poznań,Żaglowa,2,
52.4732202,16.7660637,Poznań,Fregatowa,20,
52.4737334,16.7688688,Poznań,Karawelowa,20,
52.4746576,16.7695612,Poznań,Regatowa,20,
52.4763955,16.7695714,Poznań,Retmańska,20,
52.4768021,16.7668095,Poznań,Bojerowa,21,
52.4733968,16.7669128,Poznań,Fregatowa,21,
52.4736812,16.7680592,Poznań,Korwetowa,21,
52.4761629,16.7697497,Poznań,Retmańska,21,
52.4741393,16.7673751,Poznań,Szkunerowa,21,
52.4732141,16.7663367,Poznań,Fregatowa,22,
52.4736328,16.7671829,Poznań,Korwetowa,22,
52.4746110,16.7693491,Poznań,Regatowa,22,
52.4761919,16.7693744,Poznań,Retmańska,22,
52.4766258,16.7666610,Poznań,Bojerowa,23,
52.4750495,16.7682221,Poznań,Regatowa,23,
52.4759497,16.7698730,Poznań,Retmańska,23,
52.4741838,16.7675950,Poznań,Szkunerowa,23,
52.4736635,16.7692302,Poznań,Karawelowa,24,
52.4736829,16.7674542,Poznań,Korwetowa,24,
52.4746597,16.7691595,Poznań,Regatowa,24,
52.4760058,16.7692011,Poznań,Retmańska,24,
52.4765191,16.7665734,Poznań,Bojerowa,25,
52.4734129,16.7674225,Poznań,Fregatowa,25,
52.4734864,16.7686662,Poznań,Korwetowa,25,
52.4749315,16.7678965,Poznań,Regatowa,25,
52.4731796,16.7667413,Poznań,Fregatowa,26,
52.4736859,16.7694831,Poznań,Karawelowa,26,
52.4736941,16.7676478,Poznań,Korwetowa,26,
52.4746872,16.7689472,Poznań,Regatowa,26,
52.4758404,16.7690874,Poznań,Retmańska,26,
52.4763714,16.7664531,Poznań,Bojerowa,27,
52.4733865,16.7676610,Poznań,Fregatowa,27,
52.4734488,16.7688190,Poznań,Korwetowa,27,
52.4756791,16.7693304,Poznań,Retmańska,27,
52.4731795,16.7669858,Poznań,Fregatowa,28,
52.4737457,16.7696709,Poznań,Karawelowa,28,
52.4735703,16.7680237,Poznań,Korwetowa,28,
52.4746580,16.7686632,Poznań,Regatowa,28,
52.4756587,16.7689256,Poznań,Retmańska,28,
52.4762414,16.7663421,Poznań,Bojerowa,29,
52.4733056,16.7678991,Poznań,Fregatowa,29,
52.4749191,16.7673436,Poznań,Regatowa,29,
52.4754103,16.7695219,Poznań,Retmańska,29,
52.4741382,16.7650465,Poznań,Fregatowa,3,
52.4755965,16.7682159,Poznań,Kapitańska,3,
52.4762426,16.7687935,Poznań,Komandorska,3,
52.4740667,16.7658931,Poznań,Korwetowa,3,
52.4779357,16.7703897,Poznań,Retmańska,3,
52.4745138,16.7689132,Poznań,Szkutnicza,3,
52.4738459,16.7698003,Poznań,Karawelowa,30,
52.4734736,16.7682276,Poznań,Korwetowa,30,
52.4746814,16.7682722,Poznań,Regatowa,30,
52.4754266,16.7686760,Poznań,Retmańska,30,
52.4760804,16.7662118,Poznań,Bojerowa,31,
52.4732269,16.7681647,Poznań,Fregatowa,31,
52.4752988,16.7693218,Poznań,Retmańska,31,
52.4733928,16.7684396,Poznań,Korwetowa,32,
52.4752623,16.7686790,Poznań,Retmańska,32,
52.4759515,16.7661042,Poznań,Bojerowa,33,
52.4733154,16.7686519,Poznań,Korwetowa,34,
52.4750821,16.7685248,Poznań,Retmańska,34,
52.4758181,16.7659994,Poznań,Bojerowa,35,
52.4750196,16.7665101,Poznań,Regatowa,35,
52.4746674,16.7674993,Poznań,Regatowa,36,
52.4755718,16.7658127,Poznań,Bojerowa,37,
52.4750886,16.7662523,Poznań,Regatowa,37,
52.4746682,16.7673074,Poznań,Regatowa,38,
52.4757010,16.7658997,Poznań,Bojerowa,39,
52.4751552,16.7659910,Poznań,Regatowa,39,
52.4739583,16.7648030,Poznań,Fregatowa,4,
52.4758421,16.7683861,Poznań,Kapitańska,4,
52.4746122,16.7683476,Poznań,Karawelowa,4,
52.4765396,16.7689607,Poznań,Komandorska,4,
52.4741910,16.7655013,Poznań,Korwetowa,4,
52.4742648,16.7689025,Poznań,Szkutnicza,4,
52.4747051,16.7672117,Poznań,Regatowa,40,
52.4772486,16.7704498,Poznań,Admiralska,41,
52.4754317,16.7656767,Poznań,Bojerowa,41,
52.4752430,16.7656434,Poznań,Regatowa,41,
52.4746813,16.7670114,Poznań,Regatowa,42,
52.4728067,16.7673325,Poznań,Wilków Morskich,43,60-480
52.4746896,16.7669161,Poznań,Regatowa,44,
52.4772792,16.7694564,Poznań,Admiralska,45,
52.4725183,16.7646576,Poznań,Wilków Morskich,45,60-480
52.4774784,16.7703493,Poznań,Admiralska,46,
52.4747131,16.7667222,Poznań,Regatowa,46,
52.4772999,16.7692715,Poznań,Admiralska,47,
52.4774753,16.7700257,Poznań,Admiralska,48,
52.4746401,16.7665212,Poznań,Regatowa,48,
52.4770219,16.7688755,Poznań,Admiralska,49,
52.4779278,16.7677296,Poznań,Bojerowa,5,
52.4740179,16.7652065,Poznań,Fregatowa,5,
52.4756605,16.7679356,Poznań,Kapitańska,5,
52.4764679,16.7685882,Poznań,Komandorska,5,
52.4739939,16.7660202,Poznań,Korwetowa,5,
52.4743428,16.7678160,Poznań,Morska,5,
52.4741386,16.7705783,Poznań,Okrętowa,5,
52.4777736,16.7703387,Poznań,Retmańska,5,
52.4744079,16.7690550,Poznań,Szkutnicza,5,
52.4774874,16.7698035,Poznań,Admiralska,50,
52.4747593,16.7664363,Poznań,Regatowa,50,
52.4773237,16.7686656,Poznań,Admiralska,51,
52.4744629,16.7648165,Poznań,Bojerowa,51,
52.4774879,16.7697043,Poznań,Admiralska,52,
52.4747828,16.7663372,Poznań,Regatowa,52,
52.4773488,16.7684084,Poznań,Admiralska,53,
52.4742913,16.7649106,Poznań,Bojerowa,53,
52.4775024,16.7694722,Poznań,Admiralska,54,
52.4774427,16.7681715,Poznań,Admiralska,55,
52.4742092,16.7646767,Poznań,Bojerowa,55,
52.4775319,16.7691313,Poznań,Admiralska,56,
52.4748681,16.7660291,Poznań,Regatowa,56,
52.4774680,16.7678871,Poznań,Admiralska,57,
